,,R_Arm,R_Arm,R_Arm,R_Shoulder,R_Shoulder,R_Shoulder,R_Forearm,R_Forearm,R_Forearm,R_Wrist,R_Wrist,R_Wrist
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
185,1.541667,1.045479,1.339013,0.963259,0.981461,1.501112,1.034334,1.039162,1.115423,0.833236,1.020509,1.012717,0.767535
186,1.55,1.046114,1.338992,0.961469,0.982273,1.501209,1.032714,1.039014,1.115354,0.831563,1.019919,1.01281,0.765827
187,1.558333,1.046584,1.338935,0.959587,0.983102,1.501334,1.030951,1.038671,1.115365,0.829821,1.01911,1.012859,0.764085
188,1.566667,1.047051,1.338971,0.957477,0.983827,1.501461,1.029083,1.038172,1.115382,0.827914,1.017954,1.013009,0.762201
189,1.575,1.04742,1.338951,0.955347,0.984535,1.50154,1.027032,1.037427,1.115417,0.825776,1.016566,1.013133,0.760208
190,1.583333,1.047632,1.338914,0.952946,0.985193,1.501676,1.024919,1.036331,1.114404,0.824809,1.014911,1.013223,0.758079
191,1.591667,1.047676,1.338911,0.950447,0.985829,1.501817,1.022586,1.035075,1.114312,0.822453,1.012956,1.013251,0.755816
192,1.6,1.047666,1.338909,0.947713,0.986363,1.501926,1.020161,1.033676,1.114359,0.819851,1.010698,1.013342,0.753461
193,1.608333,1.047432,1.338928,0.944696,0.986793,1.501952,1.017595,1.03199,1.11429,0.817304,1.008042,1.013419,0.750959
194,1.616667,1.047133,1.338826,0.941645,0.987034,1.50204,1.014607,1.030075,1.114374,0.81433,1.005102,1.01351,0.748306
195,1.625,1.046648,1.338706,0.938302,0.987255,1.502119,1.011771,1.027876,1.114373,0.811412,1.001953,1.013641,0.745647
196,1.633333,1.046026,1.33869,0.934867,0.98737,1.502052,1.008773,1.025439,1.114449,0.808226,0.998381,1.013805,0.74277
197,1.641667,1.045378,1.338641,0.931198,0.987327,1.502113,1.005464,1.022846,1.11438,0.805093,0.994606,1.013991,0.739835
198,1.65,1.044527,1.338467,0.927499,0.987161,1.502144,1.002031,1.019933,1.114377,0.801839,0.990482,1.014119,0.736833
199,1.658333,1.043547,1.338339,0.923599,0.987094,1.502052,0.998771,1.016797,1.11431,0.798581,0.986178,1.014294,0.733728
200,1.666667,1.042409,1.338239,0.919702,0.986792,1.502015,0.995204,1.013422,1.11439,0.794663,0.981605,1.014561,0.730585
201,1.675,1.041249,1.338108,0.915366,0.986499,1.501937,0.991532,1.009971,1.114376,0.791041,0.976757,1.014789,0.727329
